Sample,ID,place
BBE,BBE1,1
BBW,BBW,1
BRE.E2.run1,BRE,1
BRE.E3.run1,BRE,1
BRE.E4.run1,BRE,1
BRE.E5.run1,BRE,1
BRE.E6.run1,BRE,1
BRW.A1.run1,BRW,1
BRW.A2.run1,BRW,1
BRW.A3.run1,BRW,1
BRW.A5.run1,BRW,1
BRW.A6.run1,BRW,1
CBE.D4.run1,CBE,1
CBE.D5.run1,CBE,1
CBE.E10.run2,CBE,1
CBE.E11.run2,CBE,1
CBE.E12.run2,CBE,1
CBE.F1.run1,CBE,1
CBE.F2.run1,CBE,1
CBW.B1.run1,CBW,1
CBW.B2.run1,CBW,1
CBW.B3.run1,CBW,1
CBW.B6.run1,CBW,1
CBW.E1.run2,CBW,1
CBW.E2.run2,CBW,1
CBW.E3.run2,CBW,1
EUE.G1.run1,EUE,1
EUE.G2.run1,EUE,1
EUE.G3.run1,EUE,1
EUE.G4.run1,EUE,1
EUE.G5.run1,EUE,1
EUE.G6.run1,EUE,1
EUW.C1.run1,EUW,1
EUW.C2.run1,EUW,1
EUW.C4.run1,EUW,1
EUW.C5.run1,EUW,1
FRE.C10.run1,FRE,1
FRE.C11.run1,FRE,1
FRE.C12.run1,FRE,1
FRE.C7.run1,FRE,1
FRE.C8.run1,FRE,1
FRE.C9.run1,FRE,1
FRE.F1.run2,FRE,1
FRE.F2.run2,FRE,1
FRE.F3.run2,FRE,1
FRW.B4.run1,FRW,1
FRW.B5.run1,FRW,1
FRW.D1.run1,FRW,1
FRW.D2.run1,FRW,1
FRW.D3.run1,FRW,1
FRW.D6.run1,FRW,1
FRW.E4.run2,FRW,1
FRW.E5.run2,FRW,1
IJE.D10.run1,IJE,1
IJE.D11.run1,IJE,1
IJE.D12.run1,IJE,1
IJE.D7.run1,IJE,1
IJE.D8.run1,IJE,1
IJE.D9.run1,IJE,1
IJW.E1.run1,IJW,1
IJW.E2.run1,IJW,1
IJW.E3.run1,IJW,1
IJW.E4.run1,IJW,1
IJW.E5.run1,IJW,1
IJW.E6.run1,IJW,1
LOE.A2.run1,LOE,1
LOE.A3.run1,LOE,1
LOE.A5.run1,LOE,1
LOE.A6.run1,LOE,1
LOW.D4.run1,LOW,1
CBE.F6.run1,CBE,1
EUW.C6.run1,EUW,1
FRW.E6.run2,FRW,1
LOW.D5.run1,LOW,1
MIE.C6.run1,MIE,1
MMW.B12.run1,MMW,1
POE,POE2,1
POW,POW,1
SJE.D1.run1,SJE,1
TBW.D7.run1,TBW,1
LOW.E7.run2,LOW,1
LOW.E8.run2,LOW,1
LOW.E9.run2,LOW,1
LOW.F1.run1,LOW,1
LOW.F2.run1,LOW,1
LOW.F3.run1,LOW,1
