"","Environment","WaterType","Salinity","Temperature","Location","Clade","Latitude","Longitude","Continent","Code","HostxWater","CladexWater","LatitudexWater","CladexHost"
"BBE","Copepod","Salt",5.7,18.3,"Blue Hammock Bayou","Gulf",29.174,-91.071,"N America","BS-3C","Copepod Salt","Gulf Salt","29.174 Salt","Copepod Gulf"
"BBW","Water","Salt",5.7,18.3,"Blue Hammock Bayou","Gulf",29.174,-91.071,"N America","BS-3W","Water Salt","Gulf Salt","29.174 Salt","Water Gulf"
"BRE","Copepod","Fresh",0,29.7,"Braddock Bay","Atlantic",43.307,-77.706,"N America","AF-1C","Copepod Fresh","Atlantic Fresh","43.307 Fresh","Copepod Atlantic"
"BRW","Water","Fresh",0,29.7,"Braddock Bay","Atlantic",43.307,-77.706,"N America","AF-1W","Water Fresh","Atlantic Fresh","43.307 Fresh","Water Atlantic"
"CBE","Copepod","Salt",4.9,17,"Cocodrie Bayou","Gulf",29.254,-90.664,"N America","BS-2C","Copepod Salt","Gulf Salt","29.254 Salt","Copepod Gulf"
"CBW","Water","Salt",4.9,17,"Cocodrie Bayou","Gulf",29.254,-90.664,"N America","BS-2W","Water Salt","Gulf Salt","29.254 Salt","Water Gulf"
"EUE","Copepod","Fresh",0,10,"Lake Eufaula","Gulf",35.146,-95.627,"N America","BF-2C","Copepod Fresh","Gulf Fresh","35.146 Fresh","Copepod Gulf"
"EUW","Water","Fresh",0,10,"Lake Eufaula","Gulf",35.146,-95.627,"N America","BF-2W","Water Fresh","Gulf Fresh","35.146 Fresh","Water Gulf"
"FRE","Copepod","Fresh",0,13.4,"Frisian Lake","European",53.031,5.729,"Europe","CF-1C","Copepod Fresh","European Fresh","53.031 Fresh","Copepod European"
"FRW","Water","Fresh",0,13.4,"Frisian Lake","European",53.031,5.729,"Europe","CF-1W","Water Fresh","European Fresh","53.031 Fresh","Water European"
"IJE","Copepod","Fresh",0,13.1,"Ijsselmeer","European",52.699,5.29,"Europe","CF-2C","Copepod Fresh","European Fresh","52.699 Fresh","Copepod European"
"IJW","Water","Fresh",0,13.1,"Ijsselmeer","European",52.699,5.29,"Europe","CF-2W","Water Fresh","European Fresh","52.699 Fresh","Water European"
"LOE","Copepod","Fresh",0,22.8,"Louisville","Gulf",38.26,-85.747,"N America","BF-1C","Copepod Fresh","Gulf Fresh","38.26 Fresh","Copepod Gulf"
"LOW","Water","Fresh",0,22.8,"Louisville","Gulf",38.26,-85.747,"N America","BF-1W","Water Fresh","Gulf Fresh","38.26 Fresh","Water Gulf"
"MAE","Copepod","Salt",5,NA,"Montmagnay","Atlantic",46.99,-70.55,"N America","AS-2C","Copepod Salt","Atlantic Salt","46.99 Salt","Copepod Atlantic"
"MAW","Water","Salt",5,5.1,"Montmagnay","Atlantic",46.99,-70.55,"N America","AS-2W","Water Salt","Atlantic Salt","46.99 Salt","Water Atlantic"
"MME","Copepod","Fresh",0,12.1,"Markemeer","European",52.574,5.033,"Europe","CF-3C","Copepod Fresh","European Fresh","52.574 Fresh","Copepod European"
"MMW","Water","Fresh",0,12.1,"Markemeer","European",52.574,5.033,"Europe","CF-3W","Water Fresh","European Fresh","52.574 Fresh","Water European"
"POE","Copepod","Salt",2,15.5,"Lake Pontchartrain","Gulf",30.154,-89.762,"N America","BS-1C","Copepod Salt","Gulf Salt","30.154 Salt","Copepod Gulf"
"POW","Water","Salt",2,15.5,"Lake Pontchartrain","Gulf",30.154,-89.762,"N America","BS-1W","Water Salt","Gulf Salt","30.154 Salt","Water Gulf"
"RME","Copepod","Fresh",0,16.4,"Racine","Atlantic",42.729,-87.779,"N America","AF-2C","Copepod Fresh","Atlantic Fresh","42.729 Fresh","Copepod Atlantic"
"RMW","Water","Fresh",0,16.4,"Racine","Atlantic",42.729,-87.779,"N America","AF-2W","Water Fresh","Atlantic Fresh","42.729 Fresh","Water Atlantic"
"SCE","Copepod","Salt",7,11.7,"Western Scheldt","European",51.302,4.286,"Europe","CS-1C","Copepod Salt","European Salt","51.302 Salt","Copepod European"
"SCW","Water","Salt",7,11.7,"Western Scheldt","European",51.302,4.286,"Europe","CS-1W","Water Salt","European Salt","51.302 Salt","Water European"
"TXE","Copepod","Fresh",0.9,13,"Lake Texoma","Gulf",33.882,-96.797,"N America","BF-3C","Copepod Fresh","Gulf Fresh","33.882 Fresh","Copepod Gulf"
"TXW","Water","Fresh",0.9,13,"Lake Texoma","Gulf",33.882,-96.797,"N America","BF-3W","Water Fresh","Gulf Fresh","33.882 Fresh","Water Gulf"
"VIE","Copepod","Salt",13.7,5.9,"Lisle Verte","Atlantic",48.002,-69.423,"N America","AS-1C","Copepod Salt","Atlantic Salt","48.002 Salt","Copepod Atlantic"
"VIW","Water","Salt",12.7,4.5,"Lisle Verte","Atlantic",47.002,-70.423,"N America","AS-1W","Water Salt","Atlantic Salt","47.002 Salt","Water Atlantic"
