"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_5600","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_3367","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_16988","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_8458","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_3796","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_672","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_16895","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_6508","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_4295","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_6747","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_7445","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_15063","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_16054","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_8363","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_11073","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_9058","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_6070","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_31374","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_3704","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_4149","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_36200","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_40133","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_7569","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_10254","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_7151","Bacteria","Proteobacteria","Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"OTU_6610","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_5807","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_3068","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_9827","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_31466","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","ACK-M1","Planktophila","limnetica"
"OTU_18459","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified","unclassified","unclassified"
"OTU_4174","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified","unclassified"
"OTU_2703","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified","unclassified"
"OTU_506","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified","unclassified"
"OTU_13549","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified","unclassified"
"OTU_990","Bacteria","Chloroflexi","Chloroflexi","Roseiflexales","unclassified","unclassified","unclassified"
