"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"77","OTU_00003","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA,1.65,3.85,18.92,15.76,25.08,21.48,35.61,16.85,2.1,15.27,26.48,15.41,42.94,23.72,39.32,22.65,16.47,17.24,66.72,3.22,41.47,41.71,1.54,12.04,45.24,25.5,59.66,2.05
"140","OTU_00006","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA,0.13,74.9,0.43,31.38,3.38,25.92,0.39,38.93,3.38,42.25,0.54,51.86,0.1,42.58,0.93,35.51,0.27,51.72,0.43,68.07,0.15,46.28,0.15,28.32,0.06,41.47,0.12,59.76
"156","OTU_00008","Bacteria","Bacteroidetes","Saprospirae",NA,NA,NA,NA,0.03,0.03,1.86,2.74,0,0.53,43.74,0.47,0.17,0.51,6.65,0.68,0.03,1.73,0.13,0.1,7.95,1.02,0.79,0.26,0.13,0.01,4.13,0.08,2.95,0.34,0.09,0.01
"163","OTU_00009","Bacteria","Proteobacteria","unclassified",NA,NA,NA,NA,0,0,0.14,0.3,0,0.1,0.01,0.14,0.02,0.14,1.22,0.1,26.41,0.28,16.19,0.22,20.19,0.09,0.99,0.01,24.25,0.1,1.28,0.37,0,0.04,0,0.01
"1","OTU_00010","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,0.49,0.87,4.31,8.48,11.79,15.95,0.51,14.69,76.53,24.37,15.44,11.94,1.82,7.42,8.04,11.15,25.03,12.36,5.93,1.46,2.18,1.65,25,14.53,0.33,9.1,22.67,11.58
"61","OTU_00025","Bacteria","Proteobacteria","Epsilonproteobacteria",NA,NA,NA,NA,60.14,0.08,0.03,0.01,0.23,0.18,0,0.13,0,0.02,0.01,0.07,0,0.06,0,0.08,0,0.02,0.05,0,0.01,0.03,0,0.08,0.01,0.13,0.22,0.2
"69","OTU_00028","Bacteria","Bacteroidetes","Flavobacteriia",NA,NA,NA,NA,0.85,0.45,5.57,1.63,1.18,8.49,2.55,0.13,0.57,1.5,8.85,3.52,2.9,0.28,15.83,0.54,16.4,1.62,0.18,0.69,2.59,3.17,12.84,11.25,28.79,0.88,12.29,21.24
"78","OTU_00030","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,36.1,1.02,59.66,1.84,34.55,6.22,0.38,2.74,4.52,2.73,17.28,6.29,4.33,3.03,3.83,1.58,2.07,6.07,15.19,0.54,24.4,0.49,50.73,11.76,3.14,0.73,1.95,2.2
"87","OTU_00033","Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA,0.01,0.03,0.44,0.03,0.23,0.03,9.77,0.23,0.27,0.04,0.03,0.12,0.44,0.02,0.19,0.11,0.08,0.02,0.18,0,0,0.02,0.22,0.08,6.51,0.1,0.04,0.01
"90","OTU_00034","Bacteria","Bacteroidetes","Sphingobacteria",NA,NA,NA,NA,0,0.21,0.02,7.78,0,2.06,0,1.33,0,4.71,0.01,3.49,0,3.74,0.15,15.71,0,1.14,0.05,0.55,0.02,0.73,0.03,0.86,0.01,7.17,0,0
