"","Betaproteobacteria","Actinobacteria","Saprospirae","unclassified_1","Alphaproteobacteria","Epsilonproteobacteria","Flavobacteriia","Gammaproteobacteria","Sphingobacteria","unclassified_2","unclassified_3","Chloroplast","Synechococcophycideae","Acidimicrobiia","Verrucomicrobiae"
"BBE",0.0164713140037014,NA,0.000308451573103023,0,0.00487353485502776,0.601357186921653,0.00851326341764343,0.361011721159778,NA,NA,NA,0.000987045033929673,0.000185070943861814,NA,0.000185070943861814
"BBW",0.0385219302836805,0.748979378205799,NA,NA,0.00868837014550403,NA,0.00450120381032137,0.010153878362818,0.00209358316759133,0.0634355699780174,0.000209358316759133,NA,0.0102585575211975,0.080184235318748,NA
"BRE",0.189215546358404,NA,0.0186480186480186,0.00137957280814424,0.0431235431235431,0.000261643118785976,0.05568241282527,0.596570096570097,NA,NA,NA,0.00259264544978831,0.0353456067741782,NA,0.004995004995005
"BRW",0.157645911750034,0.313829304793433,NA,NA,0.0848374223391229,NA,0.0162917781506508,0.0183551766359802,0.0778422747267698,0.0418575121309691,0.00533989388236361,NA,0.129132465647816,0.0172327785587955,NA
"CBE",0.250752489002084,NA,0,0,0.117851354480204,0.00231535077564251,0.0118082889557768,0.345450335725862,NA,NA,NA,0.0625144709423478,0.0233850428339893,NA,0.0240796480666821
"CBW",0.214766679408392,0.259218148137258,NA,NA,0.15945043958952,NA,0.0848966450057338,0.0621673674615543,0.0206342438766209,0.033785174512629,0.0175247728542445,NA,0.0178188126672351,0.0198770913581699,NA
"EUE",0.356100535085397,NA,0.437382172912004,7.22004283892084e-05,0.00513425268545482,8.02226982102316e-06,0.0255348848403167,0.00381860043480702,NA,NA,NA,0.0321291906331978,0.00161247623402566,NA,0.00017648993606251
"EUW",0.168500079173614,0.389310630687693,NA,NA,0.146890339887667,NA,0.00131335053418903,0.0274033849048519,0.013338425283395,0.0337931612626794,0.00434057694278076,NA,0.0236030514442199,0.0126770927449026,NA
"FRE",0.0210090596688535,NA,0.00171821305841924,0.000156201187129022,0.765307716338644,0,0.00570134333020931,0.0452202436738519,NA,NA,NA,0.0510777881911903,0.0320212433614495,NA,0.0121055920024992
"FRW",0.152726136916525,0.422546717042786,NA,NA,0.243667445534325,NA,0.0149866951784288,0.0272763858938858,0.0470564208528301,0.00630702602699407,0.0324481472360209,NA,0.000432481784708165,0.00389233606237348,NA
"IJE",0.264768748010369,NA,0.0665332666333167,0.0122333894219837,0.154395379507936,0.000136431852289781,0.088544272136068,0.17276820228296,NA,NA,NA,0.129064532266133,0.0505252626313157,NA,0.014780117331393
"IJW",0.154053961923267,0.518578173203116,NA,NA,0.119428678563515,NA,0.0351962639123247,0.0629101259566055,0.0349065125871384,0.0027185491980706,0.0190468885820934,NA,0.00398834177021015,0.0055819740587343,NA
"LOE",0.429378124662806,NA,0.000323706074884005,0.264072222422041,0.0181635075351581,3.59673416537784e-05,0.0290256447145991,0.0432687120094954,NA,NA,NA,0.00600654605618099,0.000539510124806676,NA,0.114591950508938
"LOW",0.237185397336054,0.425786792736594,NA,NA,0.0742360934015994,NA,0.00277903106629787,0.030327402554093,0.0374221053939358,0.0540832139984699,0.00945524452203935,NA,0.00251093630460796,0.0424047446233922,NA
"MAE",0.393198881201237,NA,0.00132489327248638,0.161931399970558,0.0803768585308406,0,0.158251140880318,0.0382746945384955,NA,NA,NA,0.0153098778153982,0.0412189018106875,NA,0.0482849992639482
"MAW",0.226490448510558,0.355063027748319,NA,NA,0.111463129774067,NA,0.00539662509564914,0.0158207031721953,0.157099515377697,0.00986025157401565,0.0145185324401606,NA,0.000167805506705508,0.00778617551113557,NA
"MME",0.164713032907875,NA,0.0795346010245724,0.20187548840844,0.250325605626465,4.34140835286967e-05,0.164018407571416,0.0206651037596596,NA,NA,NA,0.00238777459407832,0.0328644612312234,NA,0.0092471997916124
"MMW",0.172388425698872,0.51718979892104,NA,NA,0.123639038744483,NA,0.0161844041196665,0.0607405590975969,0.011378126532614,0.00370279548798431,0.00767533104462972,NA,0.0240559097596861,0.00169200588523786,NA
"POE",0.667150093961925,NA,0.00792548410817877,0.00994770814609037,0.0592981452733066,0.000531089141269712,0.00181795898357709,0.151932347414004,NA,NA,NA,0.00337037339651932,0.0100498406732576,NA,0.0155854236457227
"POW",0.0321982699437045,0.680694768639297,NA,NA,0.0145544418508856,NA,0.00686530275985171,0.00535493615268433,0.00549224220788137,0.0181243992860085,0.00247150899354662,NA,0.146230948784841,0.0431827543594673,NA
"RME",0.414727595551818,NA,0.00130828894495842,0.242547425474255,0.0218203906176993,0.000140173815531259,0.0258854312681058,0.244042612839922,NA,NA,NA,0.00126156433978133,0,NA,0.00401831604522942
"RMW",0.4170521952225,0.462806037148157,NA,NA,0.0164613059111834,NA,0.0317373977967616,0.00485536953484644,0.00734031101848247,0.000366442983761995,0.0184824679934956,NA,5.72567162128118e-06,0.00120239104046905,NA
"SCE",0.0153540262896277,NA,0.0413306822784344,0.0127582017010936,0.250027615155197,1.84101034647815e-05,0.128410471666851,0.507271990868589,NA,NA,NA,0.00196988107073162,0,NA,0.000368202069295629
"SCW",0.120380121358006,0.283185396920917,NA,NA,0.145253497818565,NA,0.112481821373051,0.117571836918911,0.00857529712652324,0.044054962138308,0.0140664961636829,NA,0.000977884760042124,0.0878842585627601,NA
"TXE",0.452406987739233,NA,0.0295188137536119,1.05650729254159e-05,0.00333856304443141,0.000147911020955822,0.28789295468112,0.0313782665884851,NA,NA,NA,0.0183304015255965,0.0018647353713359,NA,0.00106178982900429
"TXW",0.254964392484748,0.414675643487349,NA,NA,0.0909510730865518,NA,0.00879858056048416,0.00726733587730598,0.0716768344554359,0.0253263009503439,0.0108159346668935,NA,0.0206839559584863,0.00238193617383273,NA
"VIE",0.59658452149396,NA,0.000936847552597298,3.56894305751352e-05,0.226690340655615,0.0022038223380146,0.122860864754903,0.0195221185245989,NA,NA,NA,0.00329234997055622,0.0019272292510573,NA,0.000865468691447028
"VIW",0.0205436401677243,0.597633951249752,NA,NA,0.115848565991924,NA,0.212376122538595,0.0220159630799962,0,0,0.0059495621776603,NA,0,0.000120541057145071,NA
