"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"502","OTU_00003","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas",NA,0.06,0,0.71,0,0,0.05,32.28,1.1,0,0.24,5.69,0.5,26.12,0.01,24.26,1.22,10.68,0.26,57.18,0,11.16,4.09,0.03,0.01,31.32,2.32,0,0
"668","OTU_00004","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","RS62",NA,0.2,1.54,0,0,5.39,5.46,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0.03,0.96,0,0,0,1.57,0,0,59.59,1.71
"846","OTU_00006","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-B",NA,0,0.26,0.04,4.83,0.05,2.41,0,12.01,0.19,10.59,0.07,19.14,0,6.19,0.12,5.05,0,22.21,0.01,4.02,0,5.79,0,4.83,0,10.31,0,0
"968","OTU_00008","Bacteria","Bacteroidetes","Saprospirae","Saprospirales","Saprospiraceae","unclassified",NA,0,0.01,1.83,0,0,0.01,43.73,0,0.12,0,6.2,0,0.03,0,0.03,0,7.49,0,0.22,0,0.04,0,4.07,0,2.89,0,0.09,0.01
"1015","OTU_00009","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified",NA,0,0,0.14,0.3,0,0.1,0.01,0.14,0.02,0.14,1.22,0.1,26.41,0.28,16.19,0.22,20.19,0.09,0.99,0.01,24.25,0.1,1.28,0.37,0,0.04,0,0.01
"1","OTU_00010","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA,0.08,0,0,0,5.9,1.06,0,2.91,69.38,14.88,6.4,4.7,0.02,0.02,0,1.38,2.56,4.08,0,0,0,0.12,1.21,2.24,0,0.04,0,0
"76","OTU_00012","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter",NA,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.03,0,0,0.3,0.07,0.02,0.01,11.08,0.92
"113","OTU_00013","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Chromatiaceae","Bacillus",NA,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"214","OTU_00016","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unclassified",NA,0.19,0.2,0,0,0.65,2.1,0,0,0.57,0,0.17,0.01,0,0,0.01,0.23,0.14,0.09,4.48,0.03,0.01,0,13.8,0.42,0.01,0,20.94,8.85
"248","OTU_00017","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Sediminicola",NA,0,0.02,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.53,0,0,0,18.06
"282","OTU_00018","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Cloacibacterium",NA,0,0,0,0,0,0,0.03,0,0.16,0,0,0,0.03,0,0,0,0.1,0,0.01,0,0,0,0,0,0,0,0,0
"323","OTU_00020","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA,8.53,0,4.02,0,0,0,0.03,0.01,0.09,0,0.38,0.03,0.04,0.02,0.93,0.01,0.23,0.04,2.82,0,3.21,0,0.19,0.12,0.02,0.01,0,0
"338","OTU_00021","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Candidatus_Aquiluna",NA,0,4.43,0.11,0.48,0,0.88,0,0,0,0,0,0.01,0,0.19,0,0.69,0.01,0.01,0,0.14,0,0.01,0,0.18,0,0,0,46.88
"367","OTU_00022","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia",NA,0,0,2.93,0.01,0,0,0,0.01,0,0.01,0,0,0,0,5.23,0.01,0,0,0,0,0.07,0,0,0,0,0,0.03,0
"404","OTU_00024","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","betIV","betIV-A",NA,0,0.02,0,2.35,0,0.64,0,2.89,0,3.23,0,3.06,0.24,8.82,0,1.2,0,3.48,0,0.14,0,2.24,0,0.3,0.03,1.66,0,0
"415","OTU_00025","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter",NA,60.14,0,0.02,0.01,0.23,0.09,0,0.09,0,0.01,0.01,0.01,0,0.04,0,0.05,0,0.01,0.05,0,0.01,0,0,0.05,0.01,0.07,0.14,0.06
"445","OTU_00027","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Rubrivivax",NA,0,0,4.11,0,0.51,0,0,0.01,0.02,0,0.15,0,3.74,0,5.06,0.01,0,0,0,0,7.45,0,0,0,0.07,0,0,0
"457","OTU_00028","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,0.82,0,5.54,0.01,0.02,0.01,2.5,0.09,0.41,0.01,4.41,0.07,0.24,0,2.22,0.04,13.76,0.02,0.13,0,2.28,3.15,11.48,0.01,28.48,0.02,0.11,0
