"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"160","OTU_00003","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA,0.96,3.05,13.98,10.93,24.52,11,35.47,12.74,1.81,9.79,12.8,10.76,41.92,11.37,37.32,19.73,12.6,9.33,63.95,1.85,38.75,39.27,0.67,3.58,45.16,22.64,59.62,1.85
"282","OTU_00006","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales",NA,NA,NA,0.13,70.75,0.41,29.57,3.31,24.28,0.38,31.64,3.29,40.27,0.44,50.7,0.1,36.28,0.9,33.4,0.22,51.48,0.24,50.87,0.15,45.58,0.13,21.36,0.05,33.89,0.12,59.76
"314","OTU_00008","Bacteria","Bacteroidetes","Saprospirae","Saprospirales",NA,NA,NA,0.03,0.03,1.86,2.74,0,0.53,43.74,0.47,0.17,0.51,6.65,0.68,0.03,1.73,0.13,0.1,7.95,1.02,0.79,0.26,0.13,0.01,4.13,0.08,2.95,0.34,0.09,0.01
"327","OTU_00009","Bacteria","Proteobacteria","unclassified","unclassified",NA,NA,NA,0,0,0.14,0.3,0,0.1,0.01,0.14,0.02,0.14,1.22,0.1,26.41,0.28,16.19,0.22,20.19,0.09,0.99,0.01,24.25,0.1,1.28,0.37,0,0.04,0,0.01
"1","OTU_00010","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales",NA,NA,NA,0.12,0.06,0.02,1.65,5.9,2.49,0.05,4.97,70.15,16.89,12.82,6.16,1.28,0.93,0.34,4.04,12.95,4.58,0.1,0.08,0.34,0.21,1.37,3.1,0.05,3.42,0.11,0
"63","OTU_00016","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales",NA,NA,NA,0.21,0.26,0.13,0.02,1.13,3.42,0.17,0.87,1.01,0.01,0.9,0.06,0.03,0.04,0.44,0.61,0.67,0.3,4.83,0.08,1.64,0.01,21.61,0.61,0.17,0.17,22.31,11.37
"99","OTU_00020","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales",NA,NA,NA,8.53,0,4.05,0,0,0,0.03,0.02,0.09,0,0.38,0.03,0.07,0.02,0.93,0.01,0.23,0.04,2.82,0,3.21,0,0.19,0.12,0.02,0.01,0,0
"125","OTU_00024","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales",NA,NA,NA,0.04,0.1,0.02,2.85,0.12,4.49,0.01,3.04,0,3.26,0,3.08,0.32,9.37,0.07,2.26,0,3.5,0.01,0.73,0.07,2.29,0.59,6.7,0.04,2.19,0.04,0.2
"128","OTU_00025","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales",NA,NA,NA,60.14,0.08,0.03,0.01,0.23,0.18,0,0.13,0,0.02,0.01,0.07,0,0.06,0,0.08,0,0.02,0.05,0,0.01,0.03,0,0.08,0.01,0.13,0.22,0.2
"138","OTU_00028","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",NA,NA,NA,0.85,0.45,5.57,1.63,1.18,8.49,2.55,0.13,0.57,1.5,8.85,3.52,2.9,0.28,15.83,0.54,16.4,1.62,0.18,0.69,2.59,3.17,12.84,11.25,28.79,0.88,12.29,21.24
