"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"26","OTU_00003","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,98.41,5.89,83.17,28.23,73.67,44.19,36.66,35.89,83.26,42.73,60.51,34.08,75.85,34.93,67.39,36.21,63.97,36.71,88.98,5.27,92.65,44.01,78.61,39.08,49.07,35.75,84.67,16.09
"46","OTU_00006","Bacteria","Actinobacteria",NA,NA,NA,NA,NA,0.15,90.82,0.47,37.34,4.28,32.14,0.47,45,3.43,43.44,0.55,52.71,0.12,52.35,1.38,37.39,0.46,52.29,0.78,75.04,0.16,46.44,0.25,41.96,0.08,44.7,0.22,59.78
"51","OTU_00008","Bacteria","Bacteroidetes",NA,NA,NA,NA,NA,1.02,0.82,10.36,13.32,3.52,13.45,48.73,3.16,1.1,10.91,16.76,10.06,8.63,6.98,18.02,20.9,27.82,5.18,3.41,1.82,6.2,6.32,18.14,14.67,39.8,14.37,13.95,23.17
"29","OTU_00033","Bacteria","Firmicutes",NA,NA,NA,NA,NA,0.07,0.03,1.31,0.29,1.85,0.07,10.07,0.61,2.24,0.09,0.28,0.38,0.65,0.04,1.06,0.2,0.31,0.16,1.1,0,0.05,0.02,1.07,0.24,6.57,0.17,0.16,0.02
"42","OTU_00058","Bacteria","Chloroflexi",NA,NA,NA,NA,NA,0,0.08,0,0.19,3.24,0.18,0.07,2.84,0,1.44,0.02,1.02,0.05,0.91,0.32,1.03,0.08,1.48,0.1,0.56,0.01,2.62,0.08,0.02,0.01,0.05,0.06,0
"50","OTU_00074","Bacteria","GN02",NA,NA,NA,NA,NA,0.19,0,0.02,0.02,0.09,0.04,0.34,0.11,0,0.03,0.53,0.02,2,0.05,0.24,0.17,0.25,0,0.69,0,0.32,0.03,0.36,0.06,1.94,0.05,0.24,0.05
"5","OTU_00132","Bacteria","Chlorobi",NA,NA,NA,NA,NA,0,0.33,0,4.14,0,0.05,0,0.03,0,0.04,0,0.04,0.03,0.12,0,0.17,0,0.02,0,0.01,0,0,0,0.15,0.01,0.28,0,0
"10","OTU_00140","Bacteria","Cyanobacteria",NA,NA,NA,NA,NA,0.14,1.13,3.84,13.78,8.59,7.58,3.39,4.5,8.37,0.23,19.49,0.58,0.7,0.36,5.67,0.13,5.72,2.57,1.34,14.82,0.14,0.3,0.2,0.15,2.06,2.6,0.55,0.03
"13","OTU_00173","Bacteria","Gemmatimonadetes",NA,NA,NA,NA,NA,0,0.49,0.02,0.39,0.07,0.22,0,0.17,0,0.02,0.03,0.04,0,2.25,0.06,0.2,0,0.17,0.06,0.46,0,0,0,0.56,0,0.06,0,0
"15","OTU_00185","Bacteria","SR1",NA,NA,NA,NA,NA,0,0,0,0.01,0,0,0,0.01,0,0.02,0.14,0.01,0,0,0,0.06,0.32,0,0,0,0.01,0.01,0.01,0.05,0.32,0.01,0,0.02
"20","OTU_00221","Bacteria","unclassified",NA,NA,NA,NA,NA,0.01,0.12,0,0.13,1,0.49,0.01,0.36,0,0.2,0.14,0.17,0.01,0.11,0,0.49,0,0.21,0.13,0.09,0.01,0.08,0.01,0.36,0,0.12,0.01,0.1
"21","OTU_00223","Bacteria","Thermi",NA,NA,NA,NA,NA,0,0.04,0,0,0,0.03,0.02,0,0.02,0,0,0,0,0,0,0,0.07,0,0,0,0,0,1.12,0,0,0,0,0
"22","OTU_00230","Bacteria","Planctomycetes",NA,NA,NA,NA,NA,0,0.01,0.02,0.14,0,0.03,0.02,0.72,0.02,0,0,0.02,0,0.09,0,0.02,0.02,0.06,0.01,0.01,0,0,0,0.05,0,0.17,0.04,0
"30","OTU_00337","Bacteria","Tenericutes",NA,NA,NA,NA,NA,0,0.01,0,0,0,0.29,0,0,0,0.01,0,0.03,0,0,0,0,0,0.02,0,0,0,0,0,0.42,0.01,0,0,0
"32","OTU_00349","Bacteria","Acidobacteria",NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.46,0.02,0.09,1.61,0.09,0.01,0.01,0.02,0.24,0.59,0.21,0.23,0,0.08,0.09,1.79,0.01,0,0,0.24,0.01,0.04,0,0
