"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"2827","OTU_00002","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","stutzeri",0.12,0,0,0,5.7,0.02,0,0.07,0,0,0,0.01,0,0,0.96,0.01,0,0,0.01,0,0.02,0,0.08,0,0,0,0,0
"4417","OTU_00003","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","unclassified",0.06,0,0.71,0,0,0.05,32.28,1.1,0,0.24,5.69,0.5,26.12,0.01,24.26,1.22,10.68,0.26,57.17,0,11.16,4.08,0.03,0.01,31.31,2.31,0,0
"5959","OTU_00004","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","RS62","unclassified",0.2,0.2,0,0,3.8,0.19,0,0,0,0,0,0,0,0,0,0.02,0,0,0.03,0.03,0,0,0,0.01,0,0,59.56,0.22
"7502","OTU_00006","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-B","acI-B1",0,0.19,0,4.61,0.05,2.02,0,11.87,0.19,10.45,0.07,18.96,0,6.06,0.12,4.84,0,22.1,0.01,3.91,0,5.63,0,4.2,0,10.31,0,0
"8116","OTU_00007","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,4.59,1.24
"8667","OTU_00008","Bacteria","Bacteroidetes","Saprospirae","Saprospirales","Saprospiraceae","unclassified","unclassified",0,0,1.77,0,0,0,43.73,0,0.12,0,5.74,0,0,0,0.03,0,6.96,0,0,0,0,0,0.01,0,2.86,0,0,0
"9078","OTU_00009","Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified",0,0,0.07,0,0,0,0,0,0.01,0,0.51,0,26.37,0,16.13,0,15.13,0,0.99,0,24.21,0,0,0,0,0,0,0
"1","OTU_00010","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","yanoikuyae",0.08,0,0,0,5.9,0.92,0,2.89,69.37,14.85,6.38,4.68,0,0.01,0,1.37,2.56,4.08,0,0,0,0.12,1.21,2.24,0,0.04,0,0
"364","OTU_00011","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,3.89,0.29,0,0,6.34,0
"674","OTU_00012","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.3,0,0,0,11.06,0
"983","OTU_00013","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Chromatiaceae","Bacillus","firmus",0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"1269","OTU_00014","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-A","acI-A6",0,0.76,0,9.04,0,2.33,0.09,8.19,0,4.33,0,4.54,0.05,6.2,0.06,4.06,0,3.08,0,0.22,0,7.18,0,2.23,0,4.77,0,0
"1526","OTU_00015","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","lwoffii",0,0,0,0,9.79,0.66,0,0.04,0.48,0.27,1.28,0.83,0.05,0,0.12,0,0.13,0.17,0.01,0,0,0,1.1,0.17,0,0,0,0
"1803","OTU_00016","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unclassified","unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76,0,0,0,9.75,0
"2069","OTU_00017","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Sediminicola","unclassified",0,0.02,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.53,0,0,0,18.02
"2339","OTU_00018","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Cloacibacterium","unclassified",0,0,0,0,0,0,0.03,0,0.16,0,0,0,0.03,0,0,0,0.1,0,0.01,0,0,0,0,0,0,0,0,0
"2587","OTU_00019","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","unclassified","unclassified",0,0,0.3,0,0,0,0.26,0,0,0,0.09,0,0.32,0,0.09,0,0,0,0,0,0.29,0,0,0,0.01,0,0,0
"2828","OTU_00020","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","veronii",5.7,0,3.87,0,0,0,0.03,0.01,0.09,0,0.38,0.02,0.04,0.02,0.93,0.01,0.23,0.04,2.74,0,3.06,0,0.19,0.12,0.02,0.01,0,0
"2954","OTU_00021","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Candidatus_Aquiluna","rubra",0,4.43,0.11,0.48,0,0.88,0,0,0,0,0,0.01,0,0.19,0,0.69,0.01,0.01,0,0.14,0,0.01,0,0.18,0,0,0,46.88
"3130","OTU_00022","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia","Rickettsia_endosymbiont_of_Deronectes_platynotus",0,0,2.93,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,0,0,0,0.07,0,0,0,0,0,0.03,0
"3346","OTU_00024","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","betIV","betIV-A","LD28",0,0.02,0,2.35,0,0.64,0,2.89,0,3.23,0,3.06,0.24,8.81,0,1.2,0,3.48,0,0.14,0,2.24,0,0.3,0.03,1.66,0,0
"3435","OTU_00025","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter","unclassified",58.77,0,0.02,0,0.23,0.01,0,0.04,0,0.01,0.01,0.01,0,0.01,0,0.02,0,0,0.05,0,0.01,0,0,0.01,0.01,0.04,0.01,0.01
