"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_32",1359.18530787674,11.1183377985542,0.968521620356036,11.4797001583372,1.66858162122855e-30,1.07456656407119e-27,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-A","acI-A1"
"OTU_6",1912.35673138654,10.8130866493493,0.956272732570242,11.3075342222571,1.20426364460581e-29,3.87772893563071e-27,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-B","acI-B1"
"OTU_29",507.358516319472,13.0881888271757,1.2657000075576,10.3406721569291,4.61290586216116e-25,9.90237125077263e-23,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","alfV","alfV-A","LD12"
"OTU_31",540.2851795028,11.536528435949,1.12060879598685,10.2948758543248,7.43153748425866e-25,1.19647753496564e-22,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acTH1","acTH1-A","acTH1-A1"
"OTU_79",349.795226631209,12.0781262226534,1.18329822668926,10.2071700525122,1.84157673607417e-24,2.37195083606353e-22,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacI","bacI-A","bacI-A1"
"OTU_78",184.312098430599,11.8564933849381,1.17365890416195,10.10216285404,5.40370370107078e-24,5.79997530581597e-22,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacIII","bacIII-B","Algor"
"OTU_47",1069.22644761572,8.90619019699145,0.897021519949769,9.92862489797366,3.12535716436255e-23,2.59063603631912e-21,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified","unclassified","unclassified"
"OTU_263",328.328604369712,11.8035436612148,1.18918936664374,9.92570568851289,3.21818141157655e-23,2.59063603631912e-21,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-A","acI-A4"
"OTU_59",102.01715089607,-10.3835830275069,1.1330593515698,-9.16420045703777,4.99156187967659e-20,3.57173983390192e-18,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Leadbetterella","unclassified"
"OTU_46",532.278113750358,9.78074774958536,1.0688821210421,9.15044564507229,5.66991608428134e-20,3.65142595827719e-18,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecB"
"OTU_68",155.562357334967,11.4891790958098,1.27312406673208,9.0243986395613,1.80685007055377e-19,1.05782858676057e-17,"Bacteria","Proteobacteria","Betaproteobacteria","MWH-UniP1","unclassified","unclassified","unclassified"
"OTU_58",218.378857425269,10.2823023186614,1.1762307644572,8.7417389762003,2.2954935573472e-18,1.23191487577633e-16,"Bacteria","Chloroflexi","SL56","unclassified","unclassified","unclassified","unclassified"
"OTU_41",739.816291971923,9.73187462627519,1.12086846648451,8.6824412652077,3.87363255796778e-18,1.91893797487019e-16,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-C","acI-C2"
"OTU_14",1171.04620049316,9.23095549945971,1.06603903095278,8.65911587797065,4.75437323784785e-18,2.18701168941001e-16,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-A","acI-A6"
"OTU_73",149.252265969132,11.1510165412823,1.3271116801536,8.40247034823152,4.3718276469704e-17,1.87697133643263e-15,"Bacteria","Bacteroidetes","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_44",408.258278709986,9.70207436955586,1.16229563922125,8.34733783915451,6.98187933247473e-17,2.81020643132108e-15,"Bacteria","Actinobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_57",315.617657515529,9.24754529308008,1.13529360426848,8.14550990009206,3.77686938629197e-16,1.43076699104237e-14,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acSTL","acSTL-A","acSTL-A1"
"OTU_248",88.5540248066437,10.6175456395648,1.3551050862451,7.8352193843396,4.68024798113264e-15,1.67448872213857e-13,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecD"
"OTU_344",31.1058348812013,9.00886798175968,1.19553864843759,7.53540506075072,4.86821274166609e-14,1.65006789770156e-12,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-A","acI-A5"
"OTU_34",135.88226373684,8.86767027832993,1.17835914491353,7.52543935064947,5.25433396667007e-14,1.69189553726776e-12,"Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacIII","bacIII-A","unclassified"
"OTU_171",31.6789679667862,9.01968877981314,1.20880396536295,7.46166379186629,8.54366670939411e-14,2.62005779088086e-12,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","C111","unclassified","unclassified"
"OTU_562",73.35434219708,8.78481265783184,1.1834815418263,7.42285565711105,1.14621674079671e-13,3.35528900487765e-12,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Luna1","Luna1-A","Luna1-A2"
"OTU_220",56.8557046597407,9.80369814122364,1.37196368233683,7.14574173313777,8.95112172739636e-13,2.50631408367098e-11,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","unclassified","unclassified"
"OTU_157",44.5963039725293,9.5247782120542,1.33988657171489,7.10864517424313,1.17187591570582e-12,3.14453370714394e-11,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betIII","betIII-A","betIII-A1"
"OTU_96",61.9817441342599,8.16212784326751,1.15253009975645,7.0819216305,1.42169056097385e-12,3.66227488506864e-11,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","acIV","acIV-D","Iamia"
"OTU_191",24.3782986073132,8.46324250699684,1.19710420469321,7.06976257690596,1.55199001707266e-12,3.84415988844152e-11,"Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","bacV","unclassified","unclassified"
"OTU_10415",85.5700547595367,8.59970400750763,1.21972939047369,7.0505015904945,1.7827397639175e-12,4.25216447393655e-11,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betI","betI-A","Lhab-A1"
"OTU_35",447.78049822454,8.5996094371791,1.22283989405858,7.03249009045428,2.02879719783294e-12,4.66623355501577e-11,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","acIV","acIV-A","Iluma-A1"
"OTU_117",37.1030155100676,9.44738814730229,1.36663996159744,6.91285811389519,4.74984976704741e-12,1.05479422413053e-10,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","alfIV","alfIV-B","M-L-85"
"OTU_384",14.4373778632194,8.36282452636768,1.21240425987337,6.89771951744971,5.2843949293384e-12,1.13438344483131e-10,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","unclassified","unclassified"
"OTU_145",33.553639614919,9.32927535935158,1.35498841806879,6.88513291696489,5.7733603497572e-12,1.1993690533044e-10,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","C111","unclassified","unclassified"
"OTU_119",72.5419214295854,9.81985840380643,1.43550955709823,6.84067783126191,7.88193357624586e-12,1.58623913221948e-10,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","acIV","acIV-B","Iluma-B2"
"OTU_4129",32.8386515339128,9.2761675931547,1.37368922722197,6.75274101982587,1.45077773682957e-11,2.83121473490377e-10,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified","unclassified","unclassified"
"OTU_6839",35.4799149491773,8.98806560176083,1.35997509078667,6.60899281365642,3.86943501312575e-11,7.32916514250877e-10,"Bacteria","Chloroflexi","SL56","unclassified","unclassified","unclassified","unclassified"
"OTU_24",676.10254094594,8.25044580815263,1.27332128792751,6.47946899684784,9.20459774107446e-11,1.6936459843577e-09,"Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","betIV","betIV-A","LD28"
"OTU_102",120.04411609527,6.35461845027531,1.01435687657766,6.26467725216708,3.73598381059057e-10,6.68325992783424e-09,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","unclassified","unclassified","unclassified"
"OTU_6790",22.5720053707749,8.22629652062445,1.31635432065084,6.24930263195182,4.1228937039668e-10,7.17606363609356e-09,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betIII","betIII-A","betIII-A1"
"OTU_5830",25.7508908217402,8.53010281422926,1.3865397413718,6.15207956880473,7.64734911263321e-10,1.29602442856205e-08,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecC"
"OTU_299",16.0231226794232,8.33386983804571,1.36763973665961,6.09361487141399,1.10389055443944e-09,1.7772637926475e-08,"Bacteria","Bacteroidetes","Saprospirae","Saprospirales","Chitinophagaceae","unclassified","unclassified"
"OTU_1091",16.702347578204,8.38053209280754,1.37502865666053,6.09480540802763,1.09570654529194e-09,1.7772637926475e-08,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betII","Pnec","PnecC"
"OTU_77",125.461832486825,8.31652453574303,1.36772897385377,6.08053546771774,1.19781851817294e-09,1.88145152610578e-08,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Luna1","Luna1-A","Luna1-A4"
"OTU_162",176.087360023158,6.17240293664233,1.02193214533612,6.03993422147632,1.54177067019334e-09,2.36404836096313e-08,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betVII","betVII-B","betVII-B1"
"OTU_742",29.4907732326833,6.91365330770582,1.15142520644602,6.00443109027068,1.92003937432925e-09,2.8755938536466e-08,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium","unclassified"
"OTU_7495",15.2260036952893,8.24697432256255,1.38373554585699,5.95993529779198,2.52337824215032e-09,3.69330815442001e-08,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-A","acI-A3"
"OTU_271",12.6475601648994,7.85033814597615,1.33944060159399,5.86090800639755,4.60342965619983e-09,6.58801933020598e-08,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-C","acI-C1"
"OTU_2624",43.9570134661026,7.16600514614002,1.23458586321838,5.80437971925205,6.46047176438936e-09,9.0446604701451e-08,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI","acI-B","acI-B4"
"OTU_9",228.421014004505,-9.64082851909305,1.67108845910155,-5.76919101235156,7.96529798217861e-09,1.09141529798362e-07,"Bacteria","Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_11957",19.8262304207484,7.76724548864297,1.35059706774248,5.75097168071446,8.87319789785037e-09,1.19048738462826e-07,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betI","betI-A","Lhab-A4"
"OTU_11550",10.7220851187971,7.79447395917422,1.37443515206469,5.6710379878347,1.41934918612872e-08,1.86543035891203e-07,"Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","unclassified","unclassified"
"OTU_7713",63.1187727902755,7.34333566745328,1.29577318491566,5.66714588088288,1.45195719761397e-08,1.87012087052679e-07,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","unclassified","unclassified","unclassified"
"OTU_89",27.8958332169959,8.79319022263058,1.5622314057159,5.62860930234663,1.81668367192575e-08,2.29400840141212e-07,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","unclassified","unclassified"
"OTU_143",44.4348508485849,6.71305827967933,1.19687283337119,5.60883169247886,2.0369699651917e-08,2.52270895689126e-07,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","acIV","acIV-C","Iluma-C1"
"OTU_7927",44.3614344343708,8.06172191660635,1.45505768585249,5.54048268669373,3.01639061738098e-08,3.66519916527047e-07,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","acIV","acIV-B","Iluma-B2"
"OTU_2014",14.3911534292051,8.07573174603465,1.46218057117948,5.52307417101042,3.33119024544865e-08,3.97275281123876e-07,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Candidatus_Rhodoluna","unclassified"
"OTU_5976",10.9208139261895,7.77097784486779,1.41583876443291,5.48860367443062,4.05123463805445e-08,4.74362746710375e-07,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified","unclassified","unclassified"
"OTU_377",7.69167990559031,7.37282838411122,1.35772983913483,5.43026172924749,5.62714635511518e-08,6.35768816262136e-07,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified","unclassified","unclassified"
"OTU_388",14.9329407112626,8.08929413981966,1.48884117685757,5.43328211602352,5.5326829973247e-08,6.35768816262136e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","HTCC2188","HTCC","unclassified"
"OTU_13001",52.9390017923842,5.98717161751095,1.10412128313156,5.42256698515028,5.87491878181906e-08,6.52318568188185e-07,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","betI","betI-A","Lhab-A1"
"OTU_267",9.149445365498,7.55575755120985,1.40063739403242,5.39451365742627,6.8709401058911e-08,7.49980581049808e-07,"Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","acIV","acIV-B","Iluma-B1"
"OTU_121",91.0657317951544,5.88476430841336,1.09774452707251,5.36077763385164,8.28644675601709e-08,8.89411951812501e-07,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Mycobacteriaceae","Mycobacterium","unclassified"
"OTU_147",8.01278020539848,7.05619583020075,1.32195939845822,5.33767968852167,9.4143585028074e-08,9.93909323902946e-07,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","unclassified","unclassified","unclassified"
